Tempo total (s) ;Temperatura (ºC) ; Potencia atual (W) ; Saida
P:  12.50 I: 100.00 D:  23.80 Tensão:5.233 V
2,03 ; 300,10 ;   8,502032 ;   87,99
4,07 ; 300,03 ;   7,530284 ;   77,46
6,10 ; 300,02 ;   10,184049 ;  104,62
8,13 ; 299,99 ;   9,396481 ;   96,80
10,17 ; 300,08 ;   9,608306 ;   98,24
12,20 ; 300,04 ;   7,980165 ;   81,14
14,23 ; 300,08 ;   9,759751 ;   99,91
16,27 ; 300,04 ;   8,605578 ;   87,98
18,30 ; 300,03 ;   9,808660 ;   99,89
20,33 ; 300,10 ;   9,407355 ;   95,40
22,36 ; 299,96 ;   8,205527 ;   83,07
24,40 ; 300,04 ;   11,347036 ;  115,71
26,43 ; 300,09 ;   8,114289 ;   82,71
28,46 ; 300,12 ;   8,520770 ;   86,67
30,50 ; 300,08 ;   8,718607 ;   88,53
32,53 ; 300,10 ;   9,800244 ;   99,29
34,56 ; 300,16 ;   8,809603 ;   89,83
36,60 ; 300,17 ;   8,217553 ;   83,29
38,63 ; 300,13 ;   9,007460 ;   91,15
40,66 ; 300,22 ;   9,805486 ;   99,71
42,70 ; 300,13 ;   7,614156 ;   77,90
44,73 ; 300,17 ;   10,482018 ;  106,47
46,76 ; 300,17 ;   8,401061 ;   85,27
48,80 ; 300,18 ;   9,081067 ;   92,09
50,83 ; 300,23 ;   8,877972 ;   90,80
52,86 ; 300,12 ;   8,197115 ;   83,19
54,90 ; 300,18 ;   10,757608 ;  109,78
56,93 ; 300,23 ;   8,071269 ;   82,67
58,96 ; 300,17 ;   8,187545 ;   83,06
61,00 ; 300,20 ;   9,852459 ;  100,95
63,03 ; 300,18 ;   8,660754 ;   88,03
65,06 ; 300,17 ;   9,159292 ;   93,90
67,10 ; 300,20 ;   9,059330 ;   92,81
69,13 ; 300,22 ;   8,460007 ;   86,65
71,16 ; 300,24 ;   8,649475 ;   88,68
73,20 ; 300,22 ;   8,548971 ;   87,19
75,23 ; 300,17 ;   9,244904 ;   94,28
77,26 ; 300,14 ;   9,600092 ;   98,25
79,29 ; 300,20 ;   9,423903 ;   96,32
81,33 ; 300,20 ;   8,151526 ;   83,01
83,36 ; 300,17 ;   8,862886 ;   90,97
85,39 ; 300,10 ;   9,256687 ;   94,65
87,43 ; 300,20 ;   10,052355 ;  102,36
89,46 ; 300,16 ;   7,593724 ;   77,14
91,49 ; 300,17 ;   9,373562 ;   95,77
93,53 ; 300,10 ;   8,782550 ;   89,91
95,56 ; 300,14 ;   10,058242 ;  102,19
97,59 ; 300,10 ;   8,390370 ;   85,67
99,63 ; 300,09 ;   9,564188 ;   97,56
101,66 ; 300,10 ;   9,258383 ;   94,31
103,69 ; 300,15 ;   8,761505 ;   89,51
105,73 ; 300,09 ;   8,279579 ;   84,31
107,76 ; 300,10 ;   9,934240 ;  101,08
109,79 ; 300,13 ;   8,789158 ;   89,43
111,83 ; 300,13 ;   8,591308 ;   87,96
113,86 ; 300,12 ;   8,984752 ;   91,36
115,89 ; 300,08 ;   9,088733 ;   92,57
117,93 ; 300,10 ;   9,580178 ;   97,61
119,96 ; 300,04 ;   8,683781 ;   88,15
121,99 ; 300,13 ;   9,973157 ;  101,49
124,03 ; 300,08 ;   7,703817 ;   78,66
126,06 ; 300,17 ;   9,677257 ;   98,66
128,09 ; 300,16 ;   7,497380 ;   76,87
130,12 ; 300,13 ;   8,978568 ;   91,79
132,16 ; 300,08 ;   9,462823 ;   96,82
134,19 ; 300,16 ;   9,650573 ;   98,53
136,22 ; 300,16 ;   7,585108 ;   77,98
138,26 ; 300,13 ;   8,865842 ;   90,51
140,29 ; 300,14 ;   9,451410 ;   96,68
142,32 ; 300,09 ;   8,649991 ;   88,45
144,36 ; 300,12 ;   9,746050 ;   99,40
146,39 ; 300,16 ;   8,452085 ;   86,40
148,42 ; 300,13 ;   8,171947 ;   83,49
150,46 ; 300,09 ;   9,451456 ;   96,52
152,49 ; 300,17 ;   9,449874 ;   96,99
154,52 ; 300,15 ;   7,581810 ;   77,59
156,56 ; 300,10 ;   9,154146 ;   93,84
158,59 ; 300,15 ;   9,539878 ;   97,83
160,62 ; 300,15 ;   8,144054 ;   83,49
162,66 ; 300,13 ;   8,817334 ;   90,31
164,69 ; 300,10 ;   9,197755 ;   94,00
166,72 ; 300,12 ;   9,200409 ;   94,27
168,76 ; 300,15 ;   8,625051 ;   88,33
170,79 ; 300,09 ;   8,319456 ;   85,61
172,82 ; 300,09 ;   9,800464 ;  100,09
174,86 ; 300,10 ;   8,861566 ;   90,92
176,89 ; 300,05 ;   8,661583 ;   88,41
178,92 ; 300,08 ;   9,643105 ;   98,13
180,95 ; 300,09 ;   8,557957 ;   87,53
182,99 ; 300,03 ;   8,761436 ;   89,70
185,02 ; 300,10 ;   9,760400 ;   99,52
187,05 ; 300,09 ;   7,885506 ;   80,32
189,09 ; 300,05 ;   9,175775 ;   93,07
191,12 ; 300,05 ;   9,359038 ;   95,73
193,15 ; 300,03 ;   8,967358 ;   91,15
195,19 ; 300,04 ;   9,276458 ;   94,86
197,22 ; 300,08 ;   8,876359 ;   90,18
199,25 ; 300,02 ;   8,371636 ;   85,10
201,29 ; 299,99 ;   9,848638 ;  100,74
203,32 ; 300,04 ;   9,342232 ;   95,32
205,35 ; 300,01 ;   8,267527 ;   84,43
207,39 ; 300,04 ;   9,458955 ;   96,26
209,42 ; 300,09 ;   8,491242 ;   86,71
211,45 ; 300,08 ;   8,199859 ;   83,81
213,49 ; 300,09 ;   8,970451 ;   91,89
215,52 ; 300,04 ;   8,768634 ;   89,49
217,55 ; 300,04 ;   9,663339 ;   98,07
219,59 ; 300,15 ;   8,959806 ;   91,20
221,62 ; 300,15 ;   7,188880 ;   73,80
223,65 ; 300,13 ;   8,769705 ;   89,76
225,69 ; 300,15 ;   9,165952 ;   93,45
227,72 ; 300,14 ;   8,478542 ;   86,26
229,75 ; 300,14 ;   8,881859 ;   90,89
231,79 ; 300,13 ;   8,773730 ;   89,71
233,82 ; 300,16 ;   9,050583 ;   92,16
235,85 ; 300,17 ;   8,192578 ;   83,63
237,88 ; 300,16 ;   8,689529 ;   88,06
239,92 ; 300,15 ;   8,867756 ;   90,40
241,95 ; 300,12 ;   8,978649 ;   91,70
243,98 ; 300,10 ;   9,284310 ;   94,35
246,02 ; 300,12 ;   9,083069 ;   92,24
248,05 ; 300,10 ;   8,602291 ;   87,44
250,08 ; 300,09 ;   9,100597 ;   92,18
252,12 ; 300,04 ;   9,102424 ;   92,35
254,15 ; 300,13 ;   9,584522 ;   97,50
256,18 ; 300,10 ;   7,510303 ;   76,96
258,22 ; 300,12 ;   9,184944 ;   93,23
260,25 ; 300,16 ;   8,586287 ;   87,29
262,28 ; 300,16 ;   8,100701 ;   82,09
264,32 ; 300,20 ;   8,687626 ;   88,91
266,35 ; 300,14 ;   8,192550 ;   83,90
268,38 ; 300,10 ;   9,562760 ;   97,12
270,42 ; 300,13 ;   9,360344 ;   95,30
272,45 ; 300,06 ;   8,378761 ;   85,82
274,48 ; 300,13 ;   9,742933 ;   99,16
276,52 ; 300,15 ;   7,897005 ;   80,06
278,55 ; 300,17 ;   8,376480 ;   85,45
280,58 ; 300,16 ;   8,372439 ;   85,11
282,62 ; 300,17 ;   8,779565 ;   89,74
284,65 ; 300,14 ;   8,581539 ;   87,31
286,68 ; 300,09 ;   9,164494 ;   93,38
288,71 ; 300,12 ;   9,568174 ;   97,47
290,75 ; 300,13 ;   8,295941 ;   84,48
292,78 ; 300,06 ;   8,570621 ;   87,78
294,81 ; 300,15 ;   9,677095 ;   98,83
296,85 ; 300,10 ;   7,505192 ;   76,00
298,88 ; 300,03 ;   9,364714 ;   95,99
300,91 ; 300,10 ;   9,864964 ;  100,29
302,95 ; 300,14 ;   7,698172 ;   78,81
304,98 ; 300,06 ;   8,090138 ;   82,86
307,01 ; 300,08 ;   9,844946 ;  100,96
309,05 ; 300,04 ;   8,568958 ;   87,04
311,08 ; 300,13 ;   9,362281 ;   95,52
313,11 ; 300,14 ;   7,497753 ;   76,12
315,15 ; 300,13 ;   8,475760 ;   86,18
317,18 ; 300,09 ;   8,868493 ;   90,91
319,21 ; 300,02 ;   9,271220 ;   94,81
321,25 ; 299,97 ;   9,865690 ;  100,25
323,28 ; 300,04 ;   9,567390 ;   97,43
325,31 ; 300,12 ;   7,794697 ;   79,38
327,35 ; 300,17 ;   7,595291 ;   77,24
329,38 ; 300,15 ;   7,778712 ;   79,94
331,41 ; 300,09 ;   8,985855 ;   91,62
333,45 ; 300,12 ;   9,697030 ;   98,10
335,48 ; 300,16 ;   8,203470 ;   83,96
337,51 ; 300,12 ;   8,001816 ;   81,05
339,54 ; 300,12 ;   9,395503 ;   95,33
341,58 ; 300,14 ;   8,709527 ;   88,43
343,61 ; 299,99 ;   8,309115 ;   84,68
345,64 ; 300,12 ;   10,964467 ;  111,69
347,68 ; 300,04 ;   6,907801 ;   70,09
349,71 ; 300,04 ;   9,869861 ;  100,77
351,74 ; 300,09 ;   8,786662 ;   89,33
353,78 ; 300,15 ;   7,992066 ;   81,86
355,81 ; 300,13 ;   7,688935 ;   78,76
357,84 ; 299,97 ;   8,977313 ;   91,59
359,88 ; 300,08 ;   11,049453 ;  112,98
361,91 ; 300,02 ;   7,093776 ;   72,73
363,94 ; 300,02 ;   9,655840 ;   98,66
365,98 ; 300,04 ;   8,782527 ;   89,51
368,01 ; 299,99 ;   8,378744 ;   85,78
370,04 ; 300,06 ;   9,454443 ;   96,65
372,08 ; 300,16 ;   7,675562 ;   78,61
374,11 ; 300,08 ;   7,082399 ;   72,73
376,14 ; 300,01 ;   9,935187 ;  101,22
378,18 ; 300,04 ;   9,755254 ;   99,80
380,21 ; 300,09 ;   8,288024 ;   84,54
382,24 ; 299,98 ;   7,983177 ;   81,65
384,27 ; 300,12 ;   10,236801 ;  104,65
386,31 ; 300,04 ;   6,704231 ;   68,66
388,34 ; 300,06 ;   9,831650 ;  100,49
390,37 ; 300,16 ;   8,365238 ;   85,32
392,41 ; 300,05 ;   7,102463 ;   72,57
394,44 ; 300,03 ;   10,233300 ;  104,79
396,47 ; 299,99 ;   9,064628 ;   92,51
398,51 ; 300,04 ;   9,354684 ;   95,29
400,54 ; 300,08 ;   8,101889 ;   82,12
402,57 ; 300,03 ;   8,081759 ;   82,75
404,61 ; 299,97 ;   9,355349 ;   95,90
406,64 ; 299,99 ;   9,650998 ;   98,98
408,67 ; 299,96 ;   8,465036 ;   86,11
410,71 ; 299,98 ;   9,267283 ;   94,51
412,74 ; 300,04 ;   8,482233 ;   86,22
414,77 ; 300,04 ;   7,895794 ;   80,96
416,81 ; 300,04 ;   8,686101 ;   88,95
418,84 ; 300,08 ;   8,694735 ;   88,94
420,87 ; 300,02 ;   8,095749 ;   82,71
422,91 ; 300,09 ;   9,634225 ;   98,35
424,94 ; 300,03 ;   7,682998 ;   78,02
426,97 ; 300,01 ;   9,453556 ;   96,98
429,01 ; 300,04 ;   9,057300 ;   92,70
431,04 ; 300,08 ;   8,275839 ;   84,30
433,07 ; 300,10 ;   8,070674 ;   82,65
435,11 ; 300,09 ;   8,273619 ;   84,62
437,14 ; 300,12 ;   8,851050 ;   90,51
439,17 ; 300,12 ;   8,158819 ;   83,22
441,20 ; 300,04 ;   8,544543 ;   87,77
443,24 ; 300,05 ;   9,822247 ;  100,17
445,27 ; 300,12 ;   8,445404 ;   86,24
447,30 ; 300,08 ;   7,662592 ;   78,57
449,34 ; 300,02 ;   9,121800 ;   93,90
451,37 ; 300,06 ;   9,622955 ;   98,11
453,40 ; 300,04 ;   7,964784 ;   81,50
455,44 ; 300,09 ;   9,031755 ;   92,07
457,47 ; 300,05 ;   7,955571 ;   81,18
459,50 ; 300,08 ;   9,031288 ;   92,98
461,54 ; 300,10 ;   8,252544 ;   84,67
463,57 ; 299,92 ;   8,255097 ;   84,35
465,60 ; 300,06 ;   11,400039 ;  116,34
467,64 ; 300,04 ;   6,582953 ;   67,70
469,67 ; 300,06 ;   8,941444 ;   91,99
471,70 ; 300,03 ;   8,261601 ;   84,82
473,74 ; 300,02 ;   9,133606 ;   93,20
475,77 ; 299,98 ;   8,937345 ;   91,11
477,80 ; 299,95 ;   9,141218 ;   93,79
479,84 ; 300,03 ;   9,344487 ;   95,43
481,87 ; 299,98 ;   7,484797 ;   76,05
483,90 ; 300,03 ;   9,408505 ;   96,08
485,93 ; 300,10 ;   7,956850 ;   81,77
487,97 ; 300,02 ;   7,559820 ;   77,44
490,00 ; 299,95 ;   9,928105 ;  101,37
492,03 ; 300,08 ;   9,736622 ;   99,98
494,07 ; 300,03 ;   6,692596 ;   68,58
